date,exchange_rate
2009-01-02,0
2009-01-05,0
2009-01-08,0
2009-01-11,0
2009-01-14,0
2009-01-17,0
2009-01-20,0
2009-01-23,0
2009-01-26,0
2009-01-29,0
2009-02-01,0
2009-02-04,0
2009-02-07,0
2009-02-10,0
2009-02-13,0
2009-02-16,0
2009-02-19,0
2009-02-22,0
2009-02-25,0
2009-02-28,0
2009-03-03,0
2009-03-06,0
2009-03-09,0
2009-03-12,0
2009-03-15,0
2009-03-18,0
2009-03-21,0
2009-03-24,0
2009-03-27,0
2009-03-30,0
2010-03-17,0.07
2010-04-01,0.07
2010-05-10,0.07
2010-05-22,0.06
2010-06-01,0.08
2010-07-13,0.08
2010-07-17,0.09
2010-07-18,0.08
2010-07-19,0.08
2010-07-20,0.07
2010-08-17,0.07
2010-09-06,0.06
2010-09-29,0.06
2010-10-04,0.06
2010-10-06,0.06
2010-10-08,0.06
2010-10-10,0.06
2010-10-17,0.1
2010-10-31,0.17
2010-11-06,0.25
2010-11-07,0.29
2010-11-08,0.3
2010-11-14,0.36
2010-12-04,0.22
2010-12-06,0.2
2010-12-08,0.21
2010-12-09,0.22
2010-12-12,0.23
2010-12-22,0.28
2010-12-29,0.27
2011-01-01,0.31
2011-01-02,0.3
2011-01-03,0.3
2011-01-09,0.32
2011-01-14,0.3
2011-01-21,0.38
2011-01-27,0.48
2011-01-28,0.52
2011-02-01,0.41
2011-02-04,0.72
2011-02-06,0.91
2011-02-09,1.08
2011-02-10,1.09
2011-02-13,1
2011-02-14,0.99
2011-02-23,0.98
2011-02-28,0.81
2011-03-01,0.86
2011-03-05,0.92
2011-03-06,0.92
2011-03-07,0.91
2011-03-09,0.88
2011-03-22,0.79
2011-03-27,0.8
2011-04-05,0.74
2011-04-16,1.17
2011-04-17,1.19
2011-04-20,1.81
2011-04-23,1.77
2011-05-01,3.15
2011-05-08,3.31
2011-05-10,4.93
2011-05-11,6.18
2011-05-18,7.25
2011-05-24,6.97
2011-05-29,8.1
2011-06-02,10.58
2011-06-05,12.26
2011-06-08,29.6
2011-06-09,27.21
2011-06-12,19.05
2011-06-13,14.08
2011-06-19,17
2011-06-25,15
2011-07-01,15
2011-07-10,14.8
2011-07-19,13.99
2011-08-03,10.3
2011-09-01,7.39
2011-10-01,4.92
2011-11-01,3.22
2011-12-01,3
2012-01-01,5.31
2012-01-11,6.84
2012-02-01,5.36
2012-03-01,4.89
2012-04-01,4.83
2012-05-01,5.04
2012-06-01,5.29
2012-07-01,6.68
2012-08-01,10.18
2012-09-01,10.49
2012-10-01,12.31
2012-11-01,10.91
2012-12-01,13.35
2013-01-01,13.51
2013-02-01,20.54
2013-03-01,35.91
2013-04-01,97.5
2013-05-01,116.4
2013-06-01,129.8
2013-07-01,90.82
2013-08-01,105.05
2013-09-01,140.01
2013-10-01,128.99
2013-11-01,205.76
2013-12-01,1033.59
2014-01-01,770.69
2014-02-01,819.98
2014-03-01,620.21
2014-04-01,445.03
2014-05-01,447.63
2014-06-01,626.18
2014-07-01,640.45
2014-08-01,513.19
2014-09-01,475.92
2014-10-01,379.38
2014-11-01,324.83
2014-12-01,377.06
2015-01-01,313.92
2015-02-01,217.48
2015-03-01,251.68
2015-04-01,244.24
2015-05-01,235.83
2015-06-01,224.02
2015-07-01,283.46
2015-08-01,282.09
2015-09-01,229.97
2015-10-01,236.55
2015-11-01,313.94
2015-12-01,362.73
2016-01-01,434.46
2016-02-01,370.47
2016-03-01,436.78
2016-04-01,416.76
2016-05-01,452.59
2016-06-01,535.54
2016-07-01,675.49
2016-08-01,606.89
2016-09-01,571.33
2016-10-01,617.44
2016-11-01,703.79
2016-12-01,750.19
2017-01-01,998.33
2017-02-01,963.66
2017-03-01,1190.78
2017-04-01,1079.75
2017-05-01,1402.78
2017-06-01,2420.87
2017-07-01,2506.47
2017-08-01,2875.33
2017-09-01,4950.72
2017-10-01,4403.74
2017-11-01,6412.14
2017-12-01,10859.56
2018-01-01,14112.2
2018-02-01,10239.79
2018-03-01,10928.75
2018-04-01,6927.07
2018-05-01,9238.95
2018-06-01,7510.14
2018-07-01,6411.68
2018-08-01,7736.76
2018-09-01,7041.82
2018-10-01,6617.25
2018-11-01,6363.01
2018-12-01,4009.49
2019-01-01,3869.47
2019-02-01,3418.77
2019-03-01,3855.32
2019-04-01,4105.37
2019-05-01,5350.73
2019-06-01,8574.5
2019-07-01,10764.73
2019-08-01,10076.57
2019-09-01,9630.66
2019-10-01,8308.25
2019-11-01,9195.35
2019-12-01,7546.67
2020-01-01,7200.17
2020-02-01,9519.65
2020-03-01,8529.86
2020-04-01,6424.35
2020-05-01,8830.2
2020-06-01,9678.11
2020-07-01,9147.95
2020-08-01,11323.88
2020-09-01,11679.32
2020-10-01,10615.83
2020-11-01,13771.99
2020-12-01,18219.67
2021-01-01,29391.78
2021-02-01,33092.97
2021-03-01,45159.5
2021-04-01,58926.56
2021-05-01,57723.78
2021-06-01,37300.31
2021-07-01,35040.84
2021-08-01,39861.27
2021-09-01,47099.77
2021-10-01,43816.74
2021-11-01,60991.09
2021-12-01,56987.97
2022-01-01,47743.27
2022-02-01,38477.52
2022-03-01,43159.21
2022-03-29,47100
